id;awardyear;category;awarddate;motivation;prizeamount;prizeamountadjusted
304;1910;The Nobel Prize in Physiology or Medicine;NA;in recognition of the contributions to our knowledge of cell chemistry made through his work on proteins, including the nucleic substances;140703;7259514
83;1964;The Nobel Prize in Physics;NA;for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle;273000;2879320
644;1970;The Nobel Prize in Literature;1970-10-08;for the ethical force with which he has pursued the indispensable traditions of Russian literature;400000;3235593
766;2003;The Nobel Prize in Physics;2003-10-07;for pioneering contributions to the theory of superconductors and superfluids;10000000;12021411
306;1912;The Nobel Prize in Physiology or Medicine;NA;in recognition of his work on vascular suture and the transplantation of blood vessels and organs;140476;6876120
544;1982;The Nobel Peace Prize;1982-10-13;for their work for disarmament and nuclear and weapon-free zones;1150000;3158777
392;1969;The Nobel Prize in Physiology or Medicine;NA;for their discoveries concerning the replication mechanism and the genetic structure of viruses;375000;3239253
479;1911;The Nobel Peace Prize;1911-12-10;for his effort to expose and fight what he considers to be the main cause of war, namely, the anarchy in international relations;140695;7460743
450;1994;The Nobel Prize in Physiology or Medicine;1994-10-10;for their discovery of G-proteins and the role of these proteins in signal transduction in cells;7000000;9417195
87;1966;The Nobel Prize in Physics;NA;for the discovery and development of optical methods for studying Hertzian resonances in atoms;300000;2835149
174;1913;The Nobel Prize in Chemistry;NA;in recognition of his work on the linkage of atoms in molecules by which he has thrown new light on earlier investigations and opened up new fields of research especially in inorganic chemistry;143010;7000156
892;2013;The Nobel Prize in Literature;2013-10-10;master of the contemporary short story;8000000;8517568
417;1979;The Nobel Prize in Physiology or Medicine;1979-10-11;for the development of computer assisted tomography;800000;3042231
305;1911;The Nobel Prize in Physiology or Medicine;NA;for his work on the dioptrics of the eye;140695;7460743
300;1907;The Nobel Prize in Physiology or Medicine;NA;in recognition of his work on the role played by protozoa in causing diseases;138796;7161123
543;1982;The Nobel Peace Prize;1982-10-13;for their work for disarmament and nuclear and weapon-free zones;1150000;3158777
882;2012;The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel;2012-10-15;for the theory of stable allocations and the practice of market design;8000000;8512821
719;1998;The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel;1998-10-14;for his contributions to welfare economics;7600000;9889843
509;1947;The Nobel Peace Prize;1947-10-30;for their pioneering work in the international peace movement and compassionate effort to relieve human suffering, thereby promoting the fraternity between nations;146115;2967378
537;1977;The Nobel Peace Prize;1977-10-10;for worldwide respect for human rights;700000;3136854
499;1934;The Nobel Peace Prize;1934-12-10;for his untiring struggle and his courageous efforts as Chairman of the League of Nations Disarmament Conference 1931-34;162608;5261333
368;1959;The Nobel Prize in Physiology or Medicine;NA;for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid;220678;2753427
119;1981;The Nobel Prize in Physics;1981-10-19;for their contribution to the development of laser spectroscopy;1000000;2982813
203;1945;The Nobel Prize in Chemistry;NA;for his research and inventions in agricultural and nutrition chemistry, especially for his fodder preservation method;121333;2545326
722;2000;The Nobel Prize in Physiology or Medicine;2000-10-09;for their discoveries concerning signal transduction in the nervous system;9000000;11538617
310;1920;The Nobel Prize in Physiology or Medicine;NA;for his discovery of the capillary motor regulating mechanism;134100;2438066
475;1909;The Nobel Peace Prize;1909-12-10;for their prominent position in the international movement for peace and arbitration;139800;7212924
553;1991;The Nobel Peace Prize;1991-10-14;for her non-violent struggle for democracy and human rights;6000000;8831149
780;2004;The Nobel Prize in Chemistry;2004-10-06;for the discovery of ubiquitin-mediated protein degradation;10000000;11976161
923;2015;The Nobel Prize in Chemistry;2015-10-07;for mechanistic studies of DNA repair;8000000;8536613
845;2009;The Nobel Peace Prize;2009-10-09;for his extraordinary efforts to strengthen international diplomacy and cooperation between peoples;10000000;11157218
428;1983;The Nobel Prize in Physiology or Medicine;NA;for her discovery of mobile genetic elements;1500000;3782695
942;2017;The Nobel Prize in Physics;2017-10-03;for decisive contributions to the LIGO detector and the observation of gravitational waves;9000000;9342577
789;2005;The Nobel Prize in Physiology or Medicine;2005-10-03;for their discovery of the bacterium <i>Helicobacter pylori</i> and its role in gastritis and peptic ulcer disease;10000000;11923798
743;2001;The Nobel Prize in Chemistry;2001-10-10;for his work on chirally catalysed oxidation reactions;10000000;12518033
409;1976;The Nobel Prize in Physiology or Medicine;1976-10-14;for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases;681000;3403217
419;1980;The Nobel Prize in Physiology or Medicine;1980-10-10;for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions;880000;2942067
103;1975;The Nobel Prize in Physics;1975-10-17;for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection;630000;3465908
936;2016;The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel;2016-10-10;for their contributions to contract theory;8000000;8451577
426;1982;The Nobel Prize in Physiology or Medicine;1982-10-11;for their discoveries concerning prostaglandins and related biologically active substances;1150000;3158777
1002;2021;The Nobel Prize in Chemistry;2021-10-06;for the development of asymmetric organocatalysis;10000000;10000000
933;2016;The Nobel Prize in Chemistry;2016-10-05;for the design and synthesis of molecular machines;8000000;8451577
345;1947;The Nobel Prize in Physiology or Medicine;NA;for his discovery of the part played by the hormone of the anterior pituitary lobe in the metabolism of sugar;146115;2967378
445;1991;The Nobel Prize in Physiology or Medicine;NA;for their discoveries concerning the function of single ion channels in cells;6000000;8831149
468;1905;The Nobel Peace Prize;1905-12-10;for her audacity to oppose the horrors of war;138089;7753291
689;1977;The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel;1977-10-14;for their pathbreaking contribution to the theory of international trade and international capital movements;700000;3136854
145;1994;The Nobel Prize in Physics;1994-10-12;for the development of neutron spectroscopy;7000000;9417195
621;1950;The Nobel Prize in Literature;NA;in recognition of his varied and significant writings in which he champions humanitarian ideals and freedom of thought;164304;3105508
535;1976;The Nobel Peace Prize;1977-10-10;for the courageous efforts in founding a movement to put an end to the violent conflict in Northern Ireland;681000;3403217
572;1903;The Nobel Prize in Literature;NA;as a tribute to his noble, magnificent and versatile poetry, which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit;141358;7936836
937;2016;The Nobel Prize in Literature;2016-10-13;for having created new poetic expressions within the great American song tradition;8000000;8451577
629;1958;The Nobel Prize in Literature;NA;for his important achievement both in contemporary lyrical poetry and in the field of the great Russian epic tradition;214559;2694692
99;1973;The Nobel Prize in Physics;1973-10-23;for his theoretical predictions of the properties of a supercurrent through a tunnel barrier, in particular those phenomena which are generally known as the Josephson effects;510000;3392300
879;2012;The Nobel Prize in Chemistry;2012-10-10;for studies of G-protein-coupled receptors;8000000;8512821
865;2011;The Nobel Prize in Physics;2011-10-04;for the discovery of the accelerating expansion of the Universe through observations of distant supernovae;10000000;10736783
861;2011;The Nobel Prize in Physiology or Medicine;NA;for their discoveries concerning the activation of innate immunity;10000000;10736783
261;1984;The Nobel Prize in Chemistry;1984-10-17;for his development of methodology for chemical synthesis on a solid matrix;1650000;3850672
105;1976;The Nobel Prize in Physics;1976-10-18;for their pioneering work in the discovery of a heavy elementary particle of a new kind;681000;3403217
34;1927;The Nobel Prize in Physics;NA;for his method of making the paths of electrically charged particles visible by condensation of vapour;126501;3658946
298;1906;The Nobel Prize in Physiology or Medicine;NA;in recognition of their work on the structure of the nervous system;138536;7556149
666;1989;The Nobel Prize in Literature;NA;for a rich and intensive prose, which with restrained compassion forms a challenging vision of man's vulnerability;3000000;5337372
189;1931;The Nobel Prize in Chemistry;NA;in recognition of their contributions to the invention and development of chemical high pressure methods;173206;5333069
343;1947;The Nobel Prize in Physiology or Medicine;NA;for their discovery of the course of the catalytic conversion of glycogen;146115;2967378
43;1936;The Nobel Prize in Physics;NA;for his discovery of the positron;159850;5002519
588;1919;The Nobel Prize in Literature;NA;in special appreciation of his epic, <I>Olympian Spring</I>;133127;2420376
500;1935;The Nobel Peace Prize;1936-11-24;for his burning love for freedom of thought and expression and his valuable contribution to the cause of peace;159917;5088026
740;2001;The Nobel Prize in Physics;2001-10-09;for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates;10000000;12518033
124;1984;The Nobel Prize in Physics;1984-10-17;for their decisive contributions to the large project, which led to the discovery of the field particles W and Z, communicators of weak interaction;1650000;3850672
562;1996;The Nobel Peace Prize;1996-10-11;for their work towards a just and peaceful solution to the conflict in East Timor;7400000;9662517
501;1936;The Nobel Peace Prize;1936-11-24;for his role as father of the Argentine Antiwar Pact of 1933, which he also used as a means to mediate peace between Paraguay and Bolivia in 1935;159850;5002519
836;2009;The Nobel Prize in Physiology or Medicine;NA;for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase;10000000;11157218
55;1950;The Nobel Prize in Physics;NA;for his development of the photographic method of studying nuclear processes and his discoveries regarding mesons made with this method;164304;3105508
431;1984;The Nobel Prize in Physiology or Medicine;NA;for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies;1650000;3850672
384;1966;The Nobel Prize in Physiology or Medicine;NA;for his discoveries concerning hormonal treatment of prostatic cancer;300000;2835149
25;1920;The Nobel Prize in Physics;NA;in recognition of the service he has rendered to precision measurements in Physics by his discovery of anomalies in nickel steel alloys;134100;2438066
489;1925;The Nobel Peace Prize;1926-12-10;for his crucial role in bringing about the Dawes Plan;118165;3269232
22;1917;The Nobel Prize in Physics;1918-11-12;"for his discovery of the characteristic R&ouml;ntgen radiation of the elements";133823;3991689
81;1964;The Nobel Prize in Physics;NA;for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle;273000;2879320
269;1987;The Nobel Prize in Chemistry;1987-10-14;for their development and use of molecules with structure-specific interactions of high selectivity;2175000;4352280
838;2009;The Nobel Prize in Physics;2009-10-06;for groundbreaking achievements concerning the transmission of light in fibers for optical communication;10000000;11157218
987;2020;The Nobel Prize in Physiology or Medicine;2020-10-05;for the discovery of Hepatitis C virus;10000000;10000000
318;1928;The Nobel Prize in Physiology or Medicine;NA;for his work on typhus;156939;4539342
307;1913;The Nobel Prize in Physiology or Medicine;NA;in recognition of his work on anaphylaxis;143010;7000156
68;1957;The Nobel Prize in Physics;NA;for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles;208629;2746709
319;1929;The Nobel Prize in Physiology or Medicine;NA;for his discovery of the antineuritic vitamin;172760;4996952
241;1972;The Nobel Prize in Chemistry;NA;for his work on ribonuclease, especially concerning the connection between the amino acid sequence and the biologically active conformation;480000;3406394
404;1974;The Nobel Prize in Physiology or Medicine;NA;for their discoveries concerning the structural and functional organization of the cell;550000;3322627
486;1921;The Nobel Peace Prize;1921-12-10;for their lifelong contributions to the cause of peace and organized internationalism;121573;2578698
453;1995;The Nobel Prize in Physiology or Medicine;1995-10-09;for their discoveries concerning the genetic control of early embryonic development;7200000;9446598
858;2010;The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel;2010-10-11;for their analysis of markets with search frictions;10000000;11015580
873;2011;The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel;2011-10-10;for their empirical research on cause and effect in the macroeconomy;10000000;10736783
153;1997;The Nobel Prize in Physics;1997-10-15;for development of methods to cool and trap atoms with laser light;7500000;9746426
662;1985;The Nobel Prize in Literature;NA;who in his novel combines the poet's and the painter's creativeness with a deepened awareness of time in the depiction of the human condition;1800000;3913667
146;1994;The Nobel Prize in Physics;1994-10-12;for the development of the neutron diffraction technique;7000000;9417195
44;1937;The Nobel Prize in Physics;NA;for their experimental discovery of the diffraction of electrons by crystals;158463;4801680
772;2003;The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel;2003-10-08;for methods of analyzing economic time series with common trends (cointegration);10000000;12021411
505;1945;The Nobel Peace Prize;1945-11-12;for his indefatigable work for international understanding and his pivotal role in establishing the United Nations;121333;2545326
333;1938;The Nobel Prize in Physiology or Medicine;NA;for the discovery of the role played by the sinus and aortic mechanisms in the regulation of respiration;155077;4625656
803;2006;The Nobel Prize in Physiology or Medicine;2006-10-02;for their discovery of RNA interference - gene silencing by double-stranded RNA;10000000;11762169
657;1980;The Nobel Prize in Literature;NA;who with uncompromising clear-sightedness voices man's exposed condition in a world of severe conflicts;880000;2942067
410;1976;The Nobel Prize in Physiology or Medicine;1976-10-14;for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases;681000;3403217
520;1961;The Nobel Peace Prize;1961-10-23;for developing the UN into an effective and constructive international organization, capable of giving life to the principles and aims expressed in the UN Charter;250233;2930643
857;2010;The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel;2010-10-11;for their analysis of markets with search frictions;10000000;11015580
867;2011;The Nobel Prize in Chemistry;2011-10-05;for the discovery of quasicrystals;10000000;10736783
363;1957;The Nobel Prize in Physiology or Medicine;NA;for his discoveries relating to synthetic compounds that inhibit the action of certain body substances, and especially their action on the vascular system and the skeletal muscles;208629;2746709
157;1998;The Nobel Prize in Physics;1998-10-13;for their discovery of a new form of quantum fluid with fractionally charged excitations;7600000;9889843
759;2002;The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel;2002-10-09;for having integrated insights from psychological research into economic science, especially concerning human judgment and decision-making under uncertainty;10000000;12252888
733;2000;The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel;2000-10-11;for his development of theory and methods for analyzing discrete choice;9000000;11538617
415;1978;The Nobel Prize in Physiology or Medicine;NA;for the discovery of restriction enzymes and their application to problems of molecular genetics;725000;2951013
674;1997;The Nobel Prize in Literature;NA;who emulates the jesters of the Middle Ages in scourging authority and upholding the dignity of the downtrodden;7500000;9746426
406;1975;The Nobel Prize in Physiology or Medicine;1975-10-16;for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell;630000;3465908
1007;2021;The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel;2021-10-11;for his empirical contributions to labour economics;10000000;10000000
423;1981;The Nobel Prize in Physiology or Medicine;1981-10-09;for their discoveries concerning information processing in the visual system;1000000;2982813
776;2004;The Nobel Prize in Physics;2004-10-05;for the discovery of asymptotic freedom in the theory of the strong interaction;10000000;11976161
928;2016;The Nobel Prize in Physics;2016-10-04;for theoretical discoveries of topological phase transitions and topological phases of matter;8000000;8451577
877;2012;The Nobel Prize in Physics;2012-10-09;for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems;8000000;8512821
997;2021;The Nobel Prize in Physiology or Medicine;2021-10-04;for their discoveries of receptors for temperature and touch;10000000;10000000
149;1996;The Nobel Prize in Physics;1996-10-09;for their discovery of superfluidity in helium-3;7400000;9662517
567;1998;The Nobel Peace Prize;1998-10-16;for their efforts to find a peaceful solution to the conflict in Northern Ireland;7600000;9889843
1003;2021;The Nobel Prize in Chemistry;2021-10-06;for the development of asymmetric organocatalysis;10000000;10000000
966;2018;The Nobel Peace Prize;2018-10-05;for their efforts to end the use of sexual violence as a weapon of war and armed conflict;9000000;9163200
93;1971;The Nobel Prize in Physics;NA;for his invention and development of the holographic method;450000;3382087
237;1969;The Nobel Prize in Chemistry;NA;for their contributions to the development of the concept of conformation and its application in chemistry;375000;3239253
669;1992;The Nobel Prize in Literature;NA;for a poetic oeuvre of great luminosity, sustained by a historical vision, the outcome of a multicultural commitment;6500000;9350791
546;1984;The Nobel Peace Prize;1984-10-05;for his role as a unifying leader figure in the non-violent campaign to resolve the problem of apartheid in South Africa;1650000;3850672
362;1956;The Nobel Prize in Physiology or Medicine;NA;for their discoveries concerning heart catheterization and pathological changes in the circulatory system;200123;2748452
975;2019;The Nobel Prize in Physics;2019-10-08;for the discovery of an exoplanet orbiting a solar-type star;9000000;9000000
1006;2021;The Nobel Peace Prize;2021-10-07;for their efforts to safeguard freedom of expression, which is a precondition for democracy and lasting peace;10000000;10000000
74;1960;The Nobel Prize in Physics;1960-11-03;for the invention of the bubble chamber;225987;2713265
267;1987;The Nobel Prize in Chemistry;1987-10-14;for their development and use of molecules with structure-specific interactions of high selectivity;2175000;4352280
962;2018;The Nobel Prize in Physics;2018-10-02;for their method of generating high-intensity, ultra-short optical pulses;9000000;9163200
817;2007;The Nobel Prize in Literature;2007-10-11;that epicist of the female experience, who with scepticism, fire and visionary power has subjected a divided civilisation to scrutiny;10000000;11506932
230;1964;The Nobel Prize in Chemistry;NA;for her determinations by X-ray techniques of the structures of important biochemical substances;273000;2879320
150;1996;The Nobel Prize in Physics;1996-10-09;for their discovery of superfluidity in helium-3;7400000;9662517
710;1993;The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel;1993-10-12;for having renewed research in economic history by applying economic theory and quantitative methods in order to explain economic and institutional change;6700000;9208279
264;1986;The Nobel Prize in Chemistry;1986-10-15;for their contributions concerning the dynamics of chemical elementary processes;2000000;4172678
443;1990;The Nobel Prize in Physiology or Medicine;NA;for their discoveries concerning organ and cell transplantation in the treatment of human disease;4000000;6443882
59;1952;The Nobel Prize in Physics;NA;for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith;171135;2592831
397;1971;The Nobel Prize in Physiology or Medicine;NA;for his discoveries concerning the mechanisms of the action of hormones;450000;3382087
324;1932;The Nobel Prize in Physiology or Medicine;NA;for their discoveries regarding the functions of neurons;171753;5375024
446;1992;The Nobel Prize in Physiology or Medicine;NA;for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism;6500000;9350791
807;2006;The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel;2006-10-09;for his analysis of intertemporal tradeoffs in macroeconomic policy;10000000;11762169
166;1907;The Nobel Prize in Chemistry;NA;for his biochemical researches and his discovery of cell-free fermentation;138796;7161123
905;2014;The Nobel Prize in Physiology or Medicine;NA;for their discoveries of cells that constitute a positioning system in the brain;8000000;8531844
336;1943;The Nobel Prize in Physiology or Medicine;NA;for his discovery of the chemical nature of vitamin K;123691;2566588
452;1995;The Nobel Prize in Physiology or Medicine;1995-10-09;for their discoveries concerning the genetic control of early embryonic development;7200000;9446598
349;1950;The Nobel Prize in Physiology or Medicine;NA;for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects;164304;3105508
787;2004;The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel;2004-10-11;for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles;10000000;11976161
365;1958;The Nobel Prize in Physiology or Medicine;NA;for their discovery that genes act by regulating definite chemical events;214559;2694692
52;1947;The Nobel Prize in Physics;NA;for his investigations of the physics of the upper atmosphere especially for the discovery of the so-called Appleton layer;146115;2967378
447;1992;The Nobel Prize in Physiology or Medicine;NA;for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism;6500000;9350791
212;1951;The Nobel Prize in Chemistry;NA;for their discoveries in the chemistry of the transuranium elements;167612;2734798
348;1949;The Nobel Prize in Physiology or Medicine;NA;for his discovery of the therapeutic value of leucotomy in certain psychoses;156290;2983576
852;2010;The Nobel Prize in Chemistry;2010-10-06;for palladium-catalyzed cross couplings in organic synthesis;10000000;11015580
533;1974;The Nobel Peace Prize;1974-10-09;for his contribution to stabilize conditions in the Pacific rim area and for signing the Nuclear Non-Proliferation Treaty;550000;3322627
782;2004;The Nobel Prize in Literature;2004-10-07;"for her musical flow of voices and counter-voices in novels and plays that with extraordinary linguistic zeal reveal the absurdity of society's clich&eacute;s and their subjugating power";10000000;11976161
658;1981;The Nobel Prize in Literature;NA;for writings marked by a broad outlook, a wealth of ideas and artistic power;1000000;2982813
275;1990;The Nobel Prize in Chemistry;1990-10-17;for his development of the theory and methodology of organic synthesis;4000000;6443882
464;1902;The Nobel Peace Prize;1902-12-10;for his untiring and skilful directorship of the Bern Peace Bureau;141847;8205634
548;1986;The Nobel Peace Prize;1986-10-14;for being a messenger to mankind: his message is one of peace, atonement and dignity;2000000;4172678
480;1912;The Nobel Peace Prize;1913-12-10;for bringing about better understanding between the countries of North and South America and initiating important arbitration agreements between the United States and other countries;140476;6876120
846;2009;The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel;2009-10-12;for her analysis of economic governance, especially the commons;10000000;11157218
835;2009;The Nobel Prize in Physiology or Medicine;NA;for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase;10000000;11157218
869;2011;The Nobel Peace Prize;2011-10-07;for their non-violent struggle for the safety of women and for women's rights to full participation in peace-building work;10000000;10736783
161;1902;The Nobel Prize in Chemistry;NA;in recognition of the extraordinary services he has rendered by his work on sugar and purine syntheses;141847;8205634
293;1901;The Nobel Prize in Physiology or Medicine;NA;for his work on serum therapy, especially its application against diphtheria, by which he has opened a new road in the domain of medical science and thereby placed in the hands of the physician a victorious weapon against illness and deaths;150782;8722510
72;1959;The Nobel Prize in Physics;NA;for their discovery of the antiproton;220678;2753427
506;1946;The Nobel Peace Prize;1946-11-14;for her lifelong work for the cause of peace;121524;2549333
991;2020;The Nobel Prize in Chemistry;2020-10-07;for the development of a method for genome editing;10000000;10000000
46;1938;The Nobel Prize in Physics;NA;for his demonstrations of the existence of new radioactive elements produced by neutron irradiation, and for his related discovery of nuclear reactions brought about by slow neutrons;155077;4625656
909;2014;The Nobel Prize in Chemistry;2014-10-08;for the development of super-resolved fluorescence microscopy;8000000;8531844
738;2001;The Nobel Prize in Physics;2001-10-09;for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates;10000000;12518033
454;1995;The Nobel Prize in Physiology or Medicine;1995-10-09;for their discoveries concerning the genetic control of early embryonic development;7200000;9446598
724;2000;The Nobel Prize in Physiology or Medicine;2000-10-09;for their discoveries concerning signal transduction in the nervous system;9000000;11538617
821;2007;The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel;2007-10-15;for having laid the foundations of mechanism design theory;10000000;11506932
604;1931;The Nobel Prize in Literature;NA;The poetry of Erik Axel Karlfeldt;173206;5333069
625;1954;The Nobel Prize in Literature;NA;for his mastery of the art of narrative, most recently demonstrated in <I>The Old Man and the Sea,</I> and for the influence that he has exerted on contemporary style;181647;2688094
47;1939;The Nobel Prize in Physics;NA;for the invention and development of the cyclotron and for results obtained with it, especially with regard to artificial radioactive elements;148822;4304564
167;1908;The Nobel Prize in Chemistry;NA;for his investigations into the disintegration of the elements, and the chemistry of radioactive substances;139800;7212924
57;1951;The Nobel Prize in Physics;NA;for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles;167612;2734798
471;1907;The Nobel Peace Prize;1907-12-10;for his work in the press and in peace meetings, both public and private, for an understanding between France and Italy;138796;7161123
340;1945;The Nobel Prize in Physiology or Medicine;NA;for the discovery of penicillin and its curative effect in various infectious diseases;121333;2545326
244;1973;The Nobel Prize in Chemistry;1973-10-23;for their pioneering work, performed independently, on the chemistry of the organometallic, so called sandwich compounds;510000;3392300
127;1986;The Nobel Prize in Physics;1986-10-15;for his fundamental work in electron optics, and for the design of the first electron microscope;2000000;4172678
444;1991;The Nobel Prize in Physiology or Medicine;NA;for their discoveries concerning the function of single ion channels in cells;6000000;8831149
39;1933;The Nobel Prize in Physics;NA;for the discovery of new productive forms of atomic theory;170332;5511251
983;2019;The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel;2019-10-14;for their experimental approach to alleviating global poverty;9000000;9000000
894;2013;The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel;2013-10-14;for their empirical analysis of asset prices;8000000;8517568
608;1936;The Nobel Prize in Literature;NA;for the power, honesty and deep-felt emotions of his dramatic works, which embody an original concept of tragedy;159850;5002519
78;1963;The Nobel Prize in Physics;NA;for his contributions to the theory of the atomic nucleus and the elementary particles, particularly through the discovery and application of fundamental symmetry principles;265000;2890771
