id;name;gender;birthdate;birthcountry;birthcontinent
305;Allvar Gullstrand;male;1862-06-05;Sweden;Europe
300;Alphonse Laveran;male;1845-06-18;France;Europe
543;Alva Myrdal;female;1902-01-31;Sweden;Europe
882;Alvin E. Roth;male;1951-12-18;USA;North America
719;Amartya Sen;male;1933-11-03;India;Asia
509;NA;NA;NA;NA;NA
537;NA;NA;NA;NA;NA
499;Arthur Henderson;male;1863-09-13;Scotland;Europe
368;Arthur Kornberg;male;1918-03-03;USA;North America
119;Arthur L. Schawlow;male;1921-05-05;USA;North America
203;Artturi Virtanen;male;1895-01-15;Russian Empire;Europe
722;Arvid Carlsson;male;1923-01-25;Sweden;Europe
310;August Krogh;male;1874-11-15;Denmark;Europe
475;Auguste Beernaert;male;1829-07-26;Belgium;Europe
553;Aung San Suu Kyi;female;1945-06-19;Burma;Asia
780;Avram Hershko;male;1937-12-31;Hungary;Europe
923;Aziz Sancar;male;1946-09-08;Turkey;Asia
845;Barack H. Obama;male;1961-08-04;USA;North America
428;Barbara McClintock;female;1902-06-16;USA;North America
942;Barry C. Barish;male;1936-01-27;USA;North America
789;Barry J. Marshall;male;1951-09-30;Australia;Oceania
743;Barry Sharpless;male;1941-04-28;USA;North America
409;Baruch S. Blumberg;male;1925-07-28;USA;North America
419;Baruj Benacerraf;male;1920-10-29;Venezuela;South America
103;Ben R. Mottelson;male;1926-07-09;USA;North America
936;Bengt Holmström;male;1949-04-18;Finland;Europe
426;Bengt I. Samuelsson;male;1934-05-21;Sweden;Europe
1002;Benjamin List;male;1968-01-11;Germany;Europe
933;Bernard L. Feringa;male;1951-05-18;the Netherlands;Europe
345;Bernardo Houssay;male;1887-04-10;Argentina;South America
445;Bert Sakmann;male;1942-06-12;Germany;Europe
468;Bertha von Suttner;female;1843-06-09;Austrian Empire;Europe
689;Bertil Ohlin;male;1899-04-23;Sweden;Europe
145;Bertram N. Brockhouse;male;1918-07-15;Canada;North America
621;Bertrand Russell;male;1872-05-18;United Kingdom;Europe
535;Betty Williams;female;1943-05-22;Northern Ireland;Europe
572;Bjørnstjerne Bjørnson;male;1832-12-08;Norway;Europe
937;Bob Dylan;male;1941-05-24;USA;North America
629;Boris Pasternak;male;1890-02-10;Russia;Europe
99;Brian D. Josephson;male;1940-01-04;United Kingdom;Europe
879;Brian Kobilka;male;1955-05-30;USA;North America
865;Brian P. Schmidt;male;1967-02-24;USA;North America
861;Bruce A. Beutler;male;1957-12-29;USA;North America
261;Bruce Merrifield;male;1921-07-15;USA;North America
105;Burton Richter;male;1931-03-22;USA;North America
34;C.T.R. Wilson;male;1869-02-14;Scotland;Europe
298;Camillo Golgi;male;1843-07-07;Italy;Europe
666;Camilo José Cela;male;1916-05-11;Spain;Europe
189;Carl Bosch;male;1874-08-27;Germany;Europe
343;Carl Cori;male;1896-12-05;Austria-Hungary;Europe
43;Carl D. Anderson;male;1905-09-03;USA;North America
588;Carl Spitteler;male;1845-04-24;Switzerland;Europe
500;Carl von Ossietzky;male;1889-10-03;Germany;Europe
740;Carl Wieman;male;1951-03-26;USA;North America
124;Carlo Rubbia;male;1934-03-31;Italy;Europe
562;Carlos Filipe Ximenes Belo;male;1948-02-03;East Timor;Oceania
501;Carlos Saavedra Lamas;male;1878-11-01;Argentina;South America
836;Carol W. Greider;female;1961-04-15;USA;North America
55;Cecil Powell;male;1903-12-05;United Kingdom;Europe
431;César Milstein;male;1927-10-08;Argentina;South America
384;Charles B. Huggins;male;1901-09-22;Canada;North America
25;Charles Edouard Guillaume;male;1861-02-15;Switzerland;Europe
489;Charles G. Dawes;male;1865-08-27;USA;North America
22;Charles Glover Barkla;male;1877-06-07;United Kingdom;Europe
81;Charles H. Townes;male;1915-07-28;USA;North America
269;Charles J. Pedersen;male;1904-10-03;Korea;Asia
838;Charles K. Kao;male;1933-11-04;China;Asia
987;Charles M. Rice;male;1952-08-25;USA;North America
318;Charles Nicolle;male;1866-09-21;France;Europe
307;Charles Richet;male;1850-08-26;France;Europe
68;Chen Ning Yang;male;1922-09-22;China;Asia
319;Christiaan Eijkman;male;1858-08-11;the Netherlands;Europe
241;Christian Anfinsen;male;1916-03-26;USA;North America
404;Christian de Duve;male;1917-10-02;United Kingdom;Europe
486;Christian Lange;male;1869-09-17;Norway;Europe
453;Christiane Nüsslein-Volhard;female;1942-10-20;Germany;Europe
858;Christopher A. Pissarides;male;1948-02-20;Cyprus;Europe
873;Christopher A. Sims;male;1942-10-21;USA;North America
153;Claude Cohen-Tannoudji;male;1933-04-01;French Algeria;Africa
662;Claude Simon;male;1913-10-10;Madagascar;Africa
146;Clifford G. Shull;male;1915-09-23;USA;North America
44;Clinton Davisson;male;1881-10-22;USA;North America
772;Clive W.J. Granger;male;1934-09-04;United Kingdom;Europe
505;Cordell Hull;male;1871-10-02;USA;North America
333;Corneille Heymans;male;1892-03-28;Belgium;Europe
803;Craig C. Mello;male;1960-10-19;USA;North America
657;Czeslaw Milosz;male;1911-06-30;Russian Empire;Europe
410;D. Carleton Gajdusek;male;1923-09-09;USA;North America
520;Dag Hammarskjöld;male;1905-07-29;Sweden;Europe
857;Dale T. Mortensen;male;1939-02-02;USA;North America
867;Dan Shechtman;male;1941-01-24;British Mandate of Palestine;Asia
363;Daniel Bovet;male;1907-03-23;Switzerland;Europe
157;Daniel C. Tsui;male;1939-02-28;China;Asia
759;Daniel Kahneman;male;1934-03-05;British Mandate of Palestine;Asia
733;Daniel L. McFadden;male;1937-07-29;USA;North America
415;Daniel Nathans;male;1928-10-30;USA;North America
674;Dario Fo;male;1926-03-24;Italy;Europe
406;David Baltimore;male;1938-03-07;USA;North America
1007;David Card;male;1956-00-00;Canada;North America
423;David H. Hubel;male;1926-02-27;Canada;North America
776;David J. Gross;male;1941-02-19;USA;North America
928;David J. Thouless;male;1934-09-21;United Kingdom;Europe
877;David J. Wineland;male;1944-02-24;USA;North America
997;David Julius;male;1955-11-04;USA;North America
149;David M. Lee;male;1931-01-20;USA;North America
567;David Trimble;male;1944-10-15;Northern Ireland;Europe
1003;David W.C. MacMillan;male;1968-00-00;United Kingdom;Europe
966;Denis Mukwege;male;1955-03-01;Belgian Congo;Africa
93;Dennis Gabor;male;1900-06-05;Hungary;Europe
237;Derek Barton;male;1918-09-08;United Kingdom;Europe
669;Derek Walcott;male;1930-01-23;Saint Lucia;North America
546;Desmond Tutu;male;1931-10-07;South Africa;Africa
362;Dickinson W. Richards;male;1895-10-30;USA;North America
975;Didier Queloz;male;1966-02-23;Switzerland;Europe
1006;Dmitry Muratov;male;1961-00-00;USSR;Europe
74;Donald A. Glaser;male;1926-09-21;USA;North America
267;Donald J. Cram;male;1919-04-22;USA;North America
962;Donna Strickland;female;1959-05-27;Canada;North America
817;Doris Lessing;female;1919-10-22;Persia;Asia
230;Dorothy Crowfoot Hodgkin;female;1910-05-12;Egypt;Africa
150;Douglas D. Osheroff;male;1945-08-01;USA;North America
710;Douglass C. North;male;1920-11-05;USA;North America
264;Dudley R. Herschbach;male;1932-06-18;USA;North America
443;E. Donnall Thomas;male;1920-03-15;USA;North America
59;E. M. Purcell;male;1912-08-30;USA;North America
397;Earl W. Sutherland, Jr.;male;1915-11-19;USA;North America
324;Edgar Adrian;male;1889-11-30;United Kingdom;Europe
446;Edmond H. Fischer;male;1920-04-06;China;Asia
807;Edmund S. Phelps;male;1933-07-26;USA;North America
166;Eduard Buchner;male;1860-05-20;Bavaria;Europe
905;Edvard I. Moser;male;1962-04-27;Norway;Europe
336;Edward A. Doisy;male;1893-11-13;USA;North America
452;Edward B. Lewis;male;1918-05-20;USA;North America
349;Edward C. Kendall;male;1886-03-08;USA;North America
787;Edward C. Prescott;male;1940-12-26;USA;North America
365;Edward Tatum;male;1909-12-14;USA;North America
52;Edward V. Appleton;male;1892-09-06;United Kingdom;Europe
447;Edwin G. Krebs;male;1918-06-06;USA;North America
212;Edwin M. McMillan;male;1907-09-18;USA;North America
348;Egas Moniz;male;1874-11-29;Portugal;Europe
852;Ei-ichi Negishi;male;1935-07-14;China;Asia
533;Eisaku Sato;male;1901-03-27;Japan;Asia
782;Elfriede Jelinek;female;1946-10-20;Austria;Europe
658;Elias Canetti;male;1905-07-25;Bulgaria;Europe
275;Elias James Corey;male;1928-07-12;USA;North America
464;Élie Ducommun;male;1833-02-19;Switzerland;Europe
548;Elie Wiesel;male;1928-09-30;Romania;Europe
480;Elihu Root;male;1845-02-15;USA;North America
846;Elinor Ostrom;female;1933-08-07;USA;North America
835;Elizabeth H. Blackburn;female;1948-11-26;Australia;Oceania
869;Ellen Johnson Sirleaf;female;1938-10-29;Liberia;Africa
161;Emil Fischer;male;1852-10-09;Prussia;Europe
293;Emil von Behring;male;1854-03-15;Prussia;Europe
72;Emilio Segrè;male;1905-02-01;Italy;Europe
506;Emily Greene Balch;female;1867-01-08;USA;North America
991;Emmanuelle Charpentier;female;1968-12-11;France;Europe
46;Enrico Fermi;male;1901-09-29;Italy;Europe
909;Eric Betzig;male;1960-01-13;USA;North America
738;Eric Cornell;male;1961-12-19;USA;North America
454;Eric F. Wieschaus;male;1947-06-08;USA;North America
724;Eric Kandel;male;1929-11-07;Austria;Europe
821;Eric S. Maskin;male;1950-12-12;USA;North America
604;Erik Axel Karlfeldt;male;1864-07-20;Sweden;Europe
625;Ernest Hemingway;male;1899-07-21;USA;North America
47;Ernest Lawrence;male;1901-08-08;USA;North America
167;Ernest Rutherford;male;1871-08-30;New Zealand;Oceania
57;Ernest T.S. Walton;male;1903-10-06;Ireland;Europe
471;Ernesto Teodoro Moneta;male;1833-09-20;Austrian Empire;Europe
340;Ernst B. Chain;male;1906-06-19;Germany;Europe
244;Ernst Otto Fischer;male;1918-11-10;Germany;Europe
127;Ernst Ruska;male;1906-12-25;Germany;Europe
444;Erwin Neher;male;1944-03-20;Germany;Europe
39;Erwin Schrödinger;male;1887-08-12;Austria;Europe
983;Esther Duflo;female;1972-10-25;France;Europe
894;Eugene F. Fama;male;1939-02-14;USA;North America
608;Eugene O'Neill;male;1888-10-16;USA;North America
78;Eugene Wigner;male;1902-11-17;Austria-Hungary;Europe
651;Eugenio Montale;male;1896-10-12;Italy;Europe
881;NA;NA;NA;NA;NA
649;Eyvind Johnson;male;1900-07-29;Sweden;Europe
929;F. Duncan M. Haldane;male;1951-09-14;United Kingdom;Europe
283;F. Sherwood Rowland;male;1927-06-28;USA;North America
556;F.W. de Klerk;male;1936-03-18;South Africa;Africa
58;Felix Bloch;male;1905-10-23;Switzerland;Europe
379;Feodor Lynen;male;1911-04-06;Germany;Europe
14;Ferdinand Braun;male;1850-06-06;Hesse-Kassel;Europe
492;Ferdinand Buisson;male;1841-12-20;France;Europe
460;Ferid Murad;male;1936-09-14;USA;North America
786;Finn E. Kydland;male;1943-12-01;Norway;Europe
963;Frances H. Arnold;female;1956-07-25;USA;North America
372;Francis Crick;male;1916-06-08;United Kingdom;Europe
180;Francis W. Aston;male;1877-09-01;United Kingdom;Europe
699;Franco Modigliani;male;1918-06-18;Italy;Europe
887;François Englert;male;1932-11-06;Belgium;Europe
380;François Jacob;male;1920-06-17;France;Europe
623;François Mauriac;male;1885-10-11;France;Europe
824;Françoise Barré-Sinoussi;female;1947-07-30;France;Europe
494;Frank B. Kellogg;male;1856-12-22;USA;North America
778;Frank Wilczek;male;1951-05-15;USA;North America
613;Frans Eemil Sillanpää;male;1888-09-16;Russian Empire;Europe
193;Frédéric Joliot;male;1900-03-19;France;Europe
573;Frédéric Mistral;male;1830-09-08;France;Europe
463;Frédéric Passy;male;1822-05-20;France;Europe
358;Frederick C. Robbins;male;1916-08-25;USA;North America
313;Frederick G. Banting;male;1891-11-14;Canada;North America
148;Frederick Reines;male;1918-03-16;USA;North America
222;Frederick Sanger;male;1918-08-13;United Kingdom;Europe
222;Frederick Sanger;male;1918-08-13;United Kingdom;Europe
179;Frederick Soddy;male;1877-09-02;United Kingdom;Europe
474;Fredrik Bajer;male;1837-04-21;Denmark;Europe
487;Fridtjof Nansen;male;1861-10-10;Norway;Europe
190;Friedrich Bergius;male;1884-10-11;Germany;Europe
685;Friedrich von Hayek;male;1899-05-08;Austria;Europe
508;NA;NA;NA;NA;NA
60;Frits Zernike;male;1888-07-16;the Netherlands;Europe
177;Fritz Haber;male;1868-12-09;Prussia;Europe
355;Fritz Lipmann;male;1899-06-12;Germany;Europe
181;Fritz Pregl;male;1869-09-03;Austria-Hungary;Europe
659;Gabriel García Márquez;male;1927-03-06;Colombia;South America
12;Gabriel Lippmann;male;1845-08-16;Luxembourg;Europe
615;Gabriela Mistral;female;1889-04-07;Chile;South America
734;Gao Xingjian;male;1940-01-04;China;Asia
708;Gary Becker;male;1930-12-02;USA;North America
245;Geoffrey Wilkinson;male;1921-07-14;United Kingdom;Europe
371;Georg von Békésy;male;1899-06-03;Hungary;Europe
253;Georg Wittig;male;1897-06-16;Germany;Europe
744;George A. Akerlof;male;1940-06-17;USA;North America
280;George A. Olah;male;1927-05-22;Hungary;Europe
364;George Beadle;male;1903-10-22;USA;North America
596;George Bernard Shaw;male;1856-07-26;Ireland;Europe
514;George C. Marshall;male;1880-12-31;USA;North America
421;George D. Snell;male;1903-12-19;USA;North America
201;George de Hevesy;male;1885-08-01;Austria-Hungary;Europe
405;George E. Palade;male;1912-11-19;Romania;Europe
840;George E. Smith;male;1930-05-10;USA;North America
805;George F. Smoot;male;1945-02-20;USA;North America
439;George H. Hitchings;male;1905-04-18;USA;North America
326;George H. Whipple;male;1878-08-28;USA;North America
696;George J. Stigler;male;1911-01-17;USA;North America
964;George P. Smith;male;1941-03-10;USA;North America
45;George Paget Thomson;male;1892-05-03;United Kingdom;Europe
235;George Porter;male;1920-12-06;United Kingdom;Europe
327;George R. Minot;male;1885-12-02;USA;North America
387;George Wald;male;1906-11-18;USA;North America
142;Georges Charpak;male;1924-08-01;Poland;Europe
430;Georges J.F. Köhler;male;1946-04-17;Germany;Europe
517;Georges Pire;male;1910-02-10;Belgium;Europe
398;Gerald M. Edelman;male;1929-07-01;USA;North America
697;Gerard Debreu;male;1921-07-04;France;Europe
961;Gérard Mourou;male;1944-06-22;France;Europe
158;Gerardus 't Hooft;male;1946-07-05;the Netherlands;Europe
128;Gerd Binnig;male;1947-07-20;West Germany;Europe
334;Gerhard Domagk;male;1895-10-30;Germany;Europe
816;Gerhard Ertl;male;1936-10-10;Germany;Europe
240;Gerhard Herzberg;male;1904-12-25;Germany;Europe
582;Gerhart Hauptmann;male;1862-11-15;Prussia;Europe
438;Gertrude B. Elion;female;1918-01-23;USA;North America
344;Gerty Cori;female;1896-08-15;Austria-Hungary;Europe
1001;Giorgio Parisi;male;1948-08-04;Italy;Europe
635;Giorgos Seferis;male;1900-03-13;Ottoman Empire;Asia
576;Giosuè Carducci;male;1835-07-27;Tuscany;Europe
229;Giulio Natta;male;1903-02-26;Italy;Europe
213;Glenn T. Seaborg;male;1912-04-19;USA;North America
418;Godfrey N. Hounsfield;male;1919-08-28;United Kingdom;Europe
810;NA;NA;NA;NA;NA
597;Grazia Deledda;female;1871-09-27;Italy;Europe
972;Gregg L. Semenza;male;1956-07-12;USA;North America
13;Guglielmo Marconi;male;1874-04-25;Italy;Europe
1009;Guido W. Imbens;male;1963-09-03;the Netherlands;Europe
684;Gunnar Myrdal;male;1898-12-06;Sweden;Europe
461;Günter Blobel;male;1936-05-21;Germany;Europe
676;Günter Grass;male;1927-10-16;Free City of Danzig;Europe
17;Gustaf Dalén;male;1869-11-30;Sweden;Europe
31;Gustav Hertz;male;1887-07-22;Germany;Europe
491;Gustav Stresemann;male;1878-05-10;Germany;Europe
777;H. David Politzer;male;1949-08-31;USA;North America
389;H. Gobind Khorana;male;1922-01-09;India;Asia
751;H. Robert Horvitz;male;1947-05-08;USA;North America
626;Halldór Laxness;male;1902-04-23;Iceland;Europe
416;Hamilton O. Smith;male;1931-08-23;USA;North America
91;Hannes Alfvén;male;1908-05-30;Sweden;Europe
88;Hans Bethe;male;1906-07-02;Germany;Europe
188;Hans Fischer;male;1881-07-27;Germany;Europe
136;Hans G. Dehmelt;male;1922-09-09;Prussia;Europe
354;Hans Krebs;male;1900-08-25;Germany;Europe
329;Hans Spemann;male;1869-06-27;Württemberg;Europe
187;Hans von Euler-Chelpin;male;1873-02-15;Germany;Europe
823;Harald zur Hausen;male;1936-03-11;Germany;Europe
192;Harold C. Urey;male;1893-04-29;USA;North America
441;Harold E. Varmus;male;1939-12-18;USA;North America
801;Harold Pinter;male;1930-10-10;United Kingdom;Europe
704;Harry M. Markowitz;male;1927-08-24;USA;North America
650;Harry Martinson;male;1904-05-06;Sweden;Europe
272;Hartmut Michel;male;1948-07-18;West Germany;Europe
985;Harvey J. Alter;male;1935-09-12;USA;North America
18;Heike Kamerlingh Onnes;male;1853-09-21;the Netherlands;Europe
647;Heinrich Böll;male;1917-12-21;Germany;Europe
129;Heinrich Rohrer;male;1933-06-06;Switzerland;Europe
184;Heinrich Wieland;male;1877-06-04;Germany;Europe
2;Hendrik A. Lorentz;male;1853-07-18;the Netherlands;Europe
4;Henri Becquerel;male;1852-12-15;France;Europe
600;Henri Bergson;male;1859-10-18;France;Europe
481;Henri La Fontaine;male;1854-04-22;Belgium;Europe
165;Henri Moissan;male;1852-09-28;France;Europe
335;Henrik Dam;male;1895-02-21;Denmark;Europe
587;Henrik Pontoppidan;male;1857-07-24;Denmark;Europe
462;Henry Dunant;male;1828-05-08;Switzerland;Europe
530;Henry Kissinger;male;1923-05-27;Germany;Europe
260;Henry Taube;male;1915-11-30;Canada;North America
139;Henry W. Kendall;male;1926-12-09;USA;North America
575;Henryk Sienkiewicz;male;1846-05-05;Poland;Europe
262;Herbert A. Hauptman;male;1917-02-14;USA;North America
252;Herbert C. Brown;male;1912-05-22;United Kingdom;Europe
727;Herbert Kroemer;male;1928-08-25;Germany;Europe
338;Herbert S. Gasser;male;1888-07-05;USA;North America
691;Herbert Simon;male;1916-06-15;USA;North America
617;Hermann Hesse;male;1877-07-02;Germany;Europe
342;Hermann J. Muller;male;1890-12-21;USA;North America
216;Hermann Staudinger;male;1881-03-23;Germany;Europe
844;Herta Müller;female;1953-08-17;Romania;Europe
731;Hideki Shirakawa;male;1936-08-20;Japan;Asia
54;Hideki Yukawa;male;1907-01-23;Japan;Asia
907;Hiroshi Amano;male;1960-09-11;Japan;Asia
485;Hjalmar Branting;male;1860-11-23;Sweden;Europe
156;Horst L. Störmer;male;1949-04-06;West Germany;Europe
408;Howard M. Temin;male;1934-12-10;USA;North America
359;Hugo Theorell;male;1903-07-06;Sweden;Europe
71;Igor Y. Tamm;male;1895-07-08;Russia;Europe
721;Il´ja M. Frank;male;1908-10-23;Russia;Europe
301;Ilya Mechnikov;male;1845-05-15;Russian Empire;Europe
250;Ilya Prigogine;male;1917-01-25;Russia;Europe
761;Imre Kertész;male;1929-11-09;Hungary;Europe
467;NA;NA;NA;NA;NA
818;NA;NA;NA;NA;NA
797;NA;NA;NA;NA;NA
948;NA;NA;NA;NA;NA
564;NA;NA;NA;NA;NA
482;NA;NA;NA;NA;NA
482;NA;NA;NA;NA;NA
482;NA;NA;NA;NA;NA
527;NA;NA;NA;NA;NA
547;NA;NA;NA;NA;NA
194;Irène Joliot-Curie;NA;NA;NA;NA
191;Irving Langmuir;NA;NA;NA;NA
781;Irwin Rose;NA;NA;NA;NA
654;Isaac Bashevis Singer;NA;NA;NA;NA
906;Isamu Akasaki;NA;NA;NA;NA
49;Isidor Isaac Rabi;NA;NA;NA;NA
606;Ivan Bunin;NA;NA;NA;NA
296;Ivan Pavlov;NA;NA;NA;NA
98;Ivar Giaever;NA;NA;NA;NA
633;Ivo Andric;NA;NA;NA;NA
130;J. Georg Bednorz;NA;NA;NA;NA
80;J. Hans D. Jensen;NA;NA;NA;NA
763;J. M. Coetzee;NA;NA;NA;NA
440;J. Michael Bishop;NA;NA;NA;NA
930;J. Michael Kosterlitz;NA;NA;NA;NA
790;J. Robin Warren;NA;NA;NA;NA
10;J.J. Thomson;NA;NA;NA;NA
592;Jacinto Benavente;NA;NA;NA;NA
728;Jack Kilby;male;1923-11-08;USA;North America
134;Jack Steinberger;male;1921-05-25;Germany;Europe
837;Jack W. Szostak;male;1952-11-09;United Kingdom;Europe
160;Jacobus H. van 't Hoff;male;1852-08-30;the Netherlands;Europe
944;Jacques Dubochet;male;1942-06-08;Switzerland;Europe
382;Jacques Monod;male;1910-02-09;France;Europe
715;James A. Mirrlees;male;1936-07-05;Scotland;Europe
204;James B. Sumner;male;1887-11-19;USA;North America
41;James Chadwick;male;1891-10-20;United Kingdom;Europe
116;James Cronin;male;1931-09-29;USA;North America
690;James E. Meade;male;1907-06-23;United Kingdom;Europe
884;James E. Rothman;male;1950-11-03;USA;North America
30;James Franck;male;1882-08-26;Germany;Europe
732;James J. Heckman;male;1944-04-19;USA;North America
700;James M. Buchanan Jr.;male;1919-10-03;USA;North America
958;James P. Allison;male;1948-08-07;USA;North America
973;James Peebles;male;1935-04-25;Canada;North America
104;James Rainwater;male;1917-12-09;USA;North America
695;James Tobin;male;1918-03-05;USA;North America
373;James Watson;male;1928-04-06;USA;North America
678;Jan Tinbergen;male;1903-04-12;the Netherlands;Europe
496;Jane Addams;female;1860-09-06;USA;North America
223;Jaroslav Heyrovsky;male;1890-12-20;Austria-Hungary;Europe
661;Jaroslav Seifert;male;1901-09-23;Austria-Hungary;Europe
32;Jean Baptiste Perrin;male;1870-09-30;France;Europe
420;Jean Dausset;male;1916-10-19;France;Europe
915;Jean Tirole;male;1953-08-09;France;Europe
832;Jean-Marie Gustave Le Clézio;male;1940-04-13;France;Europe
268;Jean-Marie Lehn;male;1939-09-30;France;Europe
637;Jean-Paul Sartre;male;1905-06-21;France;Europe
931;Jean-Pierre Sauvage;male;1944-10-21;France;Europe
938;Jeffrey C. Hall;male;1945-05-03;USA;North America
992;Jennifer A. Doudna;female;1964-02-19;USA;North America
289;Jens C. Skou;male;1918-10-08;Denmark;Europe
138;Jerome I. Friedman;male;1930-03-28;USA;North America
263;Jerome Karle;male;1918-06-18;USA;North America
762;Jimmy Carter;male;1924-10-01;USA;North America
945;Joachim Frank;male;1940-09-12;Germany;Europe
565;Jody Williams;female;1950-10-09;USA;North America
270;Johann Deisenhofer;male;1943-09-30;Germany;Europe
15;Johannes Diderik van der Waals;male;1837-11-23;the Netherlands;Europe
316;Johannes Fibiger;male;1867-04-23;Denmark;Europe
24;Johannes Stark;male;1874-04-15;Germany;Europe
614;Johannes V. Jensen;male;1873-01-20;Denmark;Europe
756;John B. Fenn;male;1917-06-15;USA;North America
976;John B. Goodenough;male;1922-07-25;Germany;Europe
66;John Bardeen;male;1908-05-23;USA;North America
66;John Bardeen;male;1908-05-23;USA;North America
711;John C. Harsanyi;male;1920-05-29;Hungary;Europe
227;John C. Kendrew;male;1917-03-24;United Kingdom;Europe
804;John C. Mather;male;1946-08-07;USA;North America
266;John C. Polanyi;male;1929-01-23;Germany;Europe
56;John Cockcroft;male;1897-05-27;United Kingdom;Europe
247;John Cornforth;male;1917-09-07;Australia;Oceania
752;John E. Sulston;male;1942-03-27;United Kingdom;Europe
288;John E. Walker;male;1941-01-07;United Kingdom;Europe
356;John F. Enders;male;1897-02-10;USA;North America
712;John F. Nash Jr.;male;1928-06-13;USA;North America
605;John Galsworthy;male;1867-08-14;United Kingdom;Europe
205;John H. Northrop;male;1891-07-05;USA;North America
109;John H. Van Vleck;male;1899-03-13;USA;North America
566;John Hume;male;1937-01-18;Northern Ireland;Europe
792;John L. Hall;male;1934-08-21;USA;North America
314;John Macleod;male;1876-09-06;Scotland;Europe
903;John O'Keefe;male;1939-11-18;USA;North America
291;John Pople;male;1925-10-31;United Kingdom;Europe
681;John R. Hicks;male;1904-04-08;United Kingdom;Europe
507;John R. Mott;male;1865-05-25;USA;North America
427;John R. Vane;male;1927-03-29;United Kingdom;Europe
634;John Steinbeck;male;1902-02-27;USA;North America
574;José Echegaray;male;1832-04-19;Spain;Europe
563;José Ramos-Horta;male;1949-12-26;East Timor;Oceania
675;José Saramago;male;1922-11-16;Portugal;Europe
664;Joseph Brodsky;male;1940-05-24;USSR;Europe
442;Joseph E. Murray;male;1919-04-01;USA;North America
746;Joseph E. Stiglitz;male;1943-02-09;USA;North America
337;Joseph Erlanger;male;1874-01-05;USA;North America
144;Joseph H. Taylor Jr.;male;1941-03-29;USA;North America
433;Joseph L. Goldstein;male;1940-04-18;USA;North America
560;Joseph Rotblat;male;1908-11-04;Russian Empire;Europe
1008;Joshua D. Angrist;male;1960-00-00;USA;North America
366;Joshua Lederberg;male;1925-05-23;USA;North America
934;Juan Manuel Santos;male;1951-08-10;Colombia;South America
627;Juan Ramón Jiménez;male;1881-12-24;Spain;Europe
862;Jules A. Hoffmann;male;1941-08-02;Luxembourg;Europe
309;Jules Bordet;male;1870-06-13;Belgium;Europe
85;Julian Schwinger;male;1918-02-12;USA;North America
396;Julius Axelrod;male;1912-05-30;USA;North America
317;Julius Wagner-Jauregg;male;1857-03-07;Austria;Europe
131;K. Alex Müller;male;1927-04-20;Switzerland;Europe
120;Kai M. Siegbahn;male;1918-04-20;Sweden;Europe
913;Kailash Satyarthi;male;1954-01-11;India;Asia
