"name";"gender";"birthDate";"birthCity";"birthCountry";"birthContinent";"awardYear";"category";"awardDate";"motivation";"prizeAmount";"prizeAmountAdjusted"
"Barry Sharpless";"male";"1941-04-28";"Philadelphia, PA";"USA";"North America";"2001";"The Nobel Prize in Chemistry";"2001-10-10";"for his work on chirally catalysed oxidation reactions";10000000;12518033
"Baruch S. Blumberg";"male";"1925-07-28";"New York, NY";"USA";"North America";"1976";"The Nobel Prize in Physiology or Medicine";"1976-10-14";"for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases";681000;3403217
"Baruj Benacerraf";"male";"1920-10-29";"Caracas";"Venezuela";"South America";"1980";"The Nobel Prize in Physiology or Medicine";"1980-10-10";"for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions";880000;2942067
"Ben R. Mottelson";"male";"1926-07-09";"Chicago, IL";"USA";"North America";"1975";"The Nobel Prize in Physics";"1975-10-17";"for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection";630000;3465908
"Bengt Holmström";"male";"1949-04-18";"Helsinki";"Finland";"Europe";"2016";"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel";"2016-10-10";"for their contributions to contract theory";8000000;8451577
"Bengt I. Samuelsson";"male";"1934-05-21";"Halmstad";"Sweden";"Europe";"1982";"The Nobel Prize in Physiology or Medicine";"1982-10-11";"for their discoveries concerning prostaglandins and related biologically active substances";1150000;3158777
"Benjamin List";"male";"1968-01-11";"Frankfurt-on-the-Main";"Germany";"Europe";"2021";"The Nobel Prize in Chemistry";"2021-10-06";"for the development of asymmetric organocatalysis";10000000;10000000
"Bernard L. Feringa";"male";"1951-05-18";"Barger-Compascuum";"the Netherlands";"Europe";"2016";"The Nobel Prize in Chemistry";"2016-10-05";"for the design and synthesis of molecular machines";8000000;8451577
"Bernardo Houssay";"male";"1887-04-10";"Buenos Aires";"Argentina";"South America";"1947";"The Nobel Prize in Physiology or Medicine";NA;"for his discovery of the part played by the hormone of the anterior pituitary lobe in the metabolism of sugar";146115;2967378
"Bert Sakmann";"male";"1942-06-12";"Stuttgart";"Germany";"Europe";"1991";"The Nobel Prize in Physiology or Medicine";NA;"for their discoveries concerning the function of single ion channels in cells";6000000;8831149
"Bertha von Suttner";"female";"1843-06-09";"Prague";"Austrian Empire";"Europe";"1905";"The Nobel Peace Prize";"1905-12-10";"for her audacity to oppose the horrors of war";138089;7753291
"Bertil Ohlin";"male";"1899-04-23";"Klippan";"Sweden";"Europe";"1977";"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel";"1977-10-14";"for their pathbreaking contribution to the theory of international trade and international capital movements";700000;3136854
"Bertram N. Brockhouse";"male";"1918-07-15";"Lethbridge, Alberta";"Canada";"North America";"1994";"The Nobel Prize in Physics";"1994-10-12";"for the development of neutron spectroscopy";7000000;9417195
"Bertrand Russell";"male";"1872-05-18";"Trelleck";"United Kingdom";"Europe";"1950";"The Nobel Prize in Literature";NA;"in recognition of his varied and significant writings in which he champions humanitarian ideals and freedom of thought";164304;3105508
"Betty Williams";"female";"1943-05-22";"Belfast";"Northern Ireland";"Europe";"1976";"The Nobel Peace Prize";"1977-10-10";"for the courageous efforts in founding a movement to put an end to the violent conflict in Northern Ireland";681000;3403217
"Bjørnstjerne Bjørnson";"male";"1832-12-08";"Kvikne";"Norway";"Europe";"1903";"The Nobel Prize in Literature";NA;"as a tribute to his noble, magnificent and versatile poetry, which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit";141358;7936836
"Bob Dylan";"male";"1941-05-24";"Duluth, MN";"USA";"North America";"2016";"The Nobel Prize in Literature";"2016-10-13";"for having created new poetic expressions within the great American song tradition";8000000;8451577
"Boris Pasternak";"male";"1890-02-10";"Moscow";"Russia";"Europe";"1958";"The Nobel Prize in Literature";NA;"for his important achievement both in contemporary lyrical poetry and in the field of the great Russian epic tradition";214559;2694692
"Brian D. Josephson";"male";"1940-01-04";"Cardiff";"United Kingdom";"Europe";"1973";"The Nobel Prize in Physics";"1973-10-23";"for his theoretical predictions of the properties of a supercurrent through a tunnel barrier, in particular those phenomena which are generally known as the Josephson effects";510000;3392300
"Brian Kobilka";"male";"1955-05-30";"Little Falls, MN";"USA";"North America";"2012";"The Nobel Prize in Chemistry";"2012-10-10";"for studies of G-protein-coupled receptors";8000000;8512821
"Brian P. Schmidt";"male";"1967-02-24";"Missoula, MT";"USA";"North America";"2011";"The Nobel Prize in Physics";"2011-10-04";"for the discovery of the accelerating expansion of the Universe through observations of distant supernovae";10000000;10736783
"Bruce A. Beutler";"male";"1957-12-29";"Chicago, IL";"USA";"North America";"2011";"The Nobel Prize in Physiology or Medicine";NA;"for their discoveries concerning the activation of innate immunity";10000000;10736783
"Bruce Merrifield";"male";"1921-07-15";"Fort Worth, TX";"USA";"North America";"1984";"The Nobel Prize in Chemistry";"1984-10-17";"for his development of methodology for chemical synthesis on a solid matrix";1650000;3850672
"Burton Richter";"male";"1931-03-22";"Brooklyn, NY";"USA";"North America";"1976";"The Nobel Prize in Physics";"1976-10-18";"for their pioneering work in the discovery of a heavy elementary particle of a new kind";681000;3403217
"C.T.R. Wilson";"male";"1869-02-14";"Glencorse";"Scotland";"Europe";"1927";"The Nobel Prize in Physics";NA;"for his method of making the paths of electrically charged particles visible by condensation of vapour";126501;3658946
"Camillo Golgi";"male";"1843-07-07";"Corteno";"Italy";"Europe";"1906";"The Nobel Prize in Physiology or Medicine";NA;"in recognition of their work on the structure of the nervous system";138536;7556149
"Camilo José Cela";"male";"1916-05-11";"Iria Flavia";"Spain";"Europe";"1989";"The Nobel Prize in Literature";NA;"for a rich and intensive prose, which with restrained compassion forms a challenging vision of man's vulnerability";3000000;5337372
"Carl Bosch";"male";"1874-08-27";"Cologne";"Germany";"Europe";"1931";"The Nobel Prize in Chemistry";NA;"in recognition of their contributions to the invention and development of chemical high pressure methods";173206;5333069
"Carl Cori";"male";"1896-12-05";"Prague";"Austria-Hungary";"Europe";"1947";"The Nobel Prize in Physiology or Medicine";NA;"for their discovery of the course of the catalytic conversion of glycogen";146115;2967378
"Carl D. Anderson";"male";"1905-09-03";"New York, NY";"USA";"North America";"1936";"The Nobel Prize in Physics";NA;"for his discovery of the positron";159850;5002519
"Carl Spitteler";"male";"1845-04-24";"Liestal";"Switzerland";"Europe";"1919";"The Nobel Prize in Literature";NA;"in special appreciation of his epic, <I>Olympian Spring</I>";133127;2420376
"Carl von Ossietzky";"male";"1889-10-03";"Hamburg";"Germany";"Europe";"1935";"The Nobel Peace Prize";"1936-11-24";"for his burning love for freedom of thought and expression and his valuable contribution to the cause of peace";159917;5088026
"Carl Wieman";"male";"1951-03-26";"Corvallis, OR";"USA";"North America";"2001";"The Nobel Prize in Physics";"2001-10-09";"for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates";10000000;12518033
"Carlo Rubbia";"male";"1934-03-31";"Gorizia";"Italy";"Europe";"1984";"The Nobel Prize in Physics";"1984-10-17";"for their decisive contributions to the large project, which led to the discovery of the field particles W and Z, communicators of weak interaction";1650000;3850672
"Carlos Filipe Ximenes Belo";"male";"1948-02-03";"Wailacama";"East Timor";"Oceania";"1996";"The Nobel Peace Prize";"1996-10-11";"for their work towards a just and peaceful solution to the conflict in East Timor";7400000;9662517
"Carlos Saavedra Lamas";"male";"1878-11-01";"Buenos Aires";"Argentina";"South America";"1936";"The Nobel Peace Prize";"1936-11-24";"for his role as father of the Argentine Antiwar Pact of 1933, which he also used as a means to mediate peace between Paraguay and Bolivia in 1935";159850;5002519
"Carol W. Greider";"female";"1961-04-15";"San Diego, CA";"USA";"North America";"2009";"The Nobel Prize in Physiology or Medicine";NA;"for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase";10000000;11157218
"Cecil Powell";"male";"1903-12-05";"Tonbridge";"United Kingdom";"Europe";"1950";"The Nobel Prize in Physics";NA;"for his development of the photographic method of studying nuclear processes and his discoveries regarding mesons made with this method";164304;3105508
"César Milstein";"male";"1927-10-08";"Bahia Blanca";"Argentina";"South America";"1984";"The Nobel Prize in Physiology or Medicine";NA;"for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies";1650000;3850672
"Charles B. Huggins";"male";"1901-09-22";"Halifax, Nova Scotia";"Canada";"North America";"1966";"The Nobel Prize in Physiology or Medicine";NA;"for his discoveries concerning hormonal treatment of prostatic cancer";300000;2835149
"Charles Edouard Guillaume";"male";"1861-02-15";"Fleurier";"Switzerland";"Europe";"1920";"The Nobel Prize in Physics";NA;"in recognition of the service he has rendered to precision measurements in Physics by his discovery of anomalies in nickel steel alloys";134100;2438066
"Charles G. Dawes";"male";"1865-08-27";"Marietta, OH";"USA";"North America";"1925";"The Nobel Peace Prize";"1926-12-10";"for his crucial role in bringing about the Dawes Plan";118165;3269232
"Charles Glover Barkla";"male";"1877-06-07";"Widnes";"United Kingdom";"Europe";"1917";"The Nobel Prize in Physics";"1918-11-12";"for his discovery of the characteristic R&ouml;ntgen radiation of the elements";133823;3991689
"Charles H. Townes";"male";"1915-07-28";"Greenville, SC";"USA";"North America";"1964";"The Nobel Prize in Physics";NA;"for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle";273000;2879320
"Charles J. Pedersen";"male";"1904-10-03";"Pusan";"Korea";"Asia";"1987";"The Nobel Prize in Chemistry";"1987-10-14";"for their development and use of molecules with structure-specific interactions of high selectivity";2175000;4352280
"Charles K. Kao";"male";"1933-11-04";"Shanghai";"China";"Asia";"2009";"The Nobel Prize in Physics";"2009-10-06";"for groundbreaking achievements concerning the transmission of light in fibers for optical communication";10000000;11157218
"Charles M. Rice";"male";"1952-08-25";"Sacramento, CA";"USA";"North America";"2020";"The Nobel Prize in Physiology or Medicine";"2020-10-05";"for the discovery of Hepatitis C virus";10000000;10000000
"Charles Nicolle";"male";"1866-09-21";"Rouen";"France";"Europe";"1928";"The Nobel Prize in Physiology or Medicine";NA;"for his work on typhus";156939;4539342
"Charles Richet";"male";"1850-08-26";"Paris";"France";"Europe";"1913";"The Nobel Prize in Physiology or Medicine";NA;"in recognition of his work on anaphylaxis";143010;7000156
"Chen Ning Yang";"male";"1922-09-22";"Hofei, Anhwei";"China";"Asia";"1957";"The Nobel Prize in Physics";NA;"for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles";208629;2746709
"Christiaan Eijkman";"male";"1858-08-11";"Nijkerk";"the Netherlands";"Europe";"1929";"The Nobel Prize in Physiology or Medicine";NA;"for his discovery of the antineuritic vitamin";172760;4996952
"Christian Anfinsen";"male";"1916-03-26";"Monessen, PA";"USA";"North America";"1972";"The Nobel Prize in Chemistry";NA;"for his work on ribonuclease, especially concerning the connection between the amino acid sequence and the biologically active conformation";480000;3406394
"Christian de Duve";"male";"1917-10-02";"Thames Ditton";"United Kingdom";"Europe";"1974";"The Nobel Prize in Physiology or Medicine";NA;"for their discoveries concerning the structural and functional organization of the cell";550000;3322627
"Christian Lange";"male";"1869-09-17";"Stavanger";"Norway";"Europe";"1921";"The Nobel Peace Prize";"1921-12-10";"for their lifelong contributions to the cause of peace and organized internationalism";121573;2578698
"Christiane Nüsslein-Volhard";"female";"1942-10-20";"Magdeburg";"Germany";"Europe";"1995";"The Nobel Prize in Physiology or Medicine";"1995-10-09";"for their discoveries concerning the genetic control of early embryonic development";7200000;9446598
"Christopher A. Pissarides";"male";"1948-02-20";"Nicosia";"Cyprus";"Europe";"2010";"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel";"2010-10-11";"for their analysis of markets with search frictions";10000000;11015580
"Christopher A. Sims";"male";"1942-10-21";"Washington, DC";"USA";"North America";"2011";"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel";"2011-10-10";"for their empirical research on cause and effect in the macroeconomy";10000000;10736783
"Claude Cohen-Tannoudji";"male";"1933-04-01";"Constantine";"French Algeria";"Africa";"1997";"The Nobel Prize in Physics";"1997-10-15";"for development of methods to cool and trap atoms with laser light";7500000;9746426
"Claude Simon";"male";"1913-10-10";"Tananarive";"Madagascar";"Africa";"1985";"The Nobel Prize in Literature";NA;"who in his novel combines the poet's and the painter's creativeness with a deepened awareness of time in the depiction of the human condition";1800000;3913667
"Clifford G. Shull";"male";"1915-09-23";"Pittsburgh, PA";"USA";"North America";"1994";"The Nobel Prize in Physics";"1994-10-12";"for the development of the neutron diffraction technique";7000000;9417195
"Clinton Davisson";"male";"1881-10-22";"Bloomington, IL";"USA";"North America";"1937";"The Nobel Prize in Physics";NA;"for their experimental discovery of the diffraction of electrons by crystals";158463;4801680
"Clive W.J. Granger";"male";"1934-09-04";"Swansea";"United Kingdom";"Europe";"2003";"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel";"2003-10-08";"for methods of analyzing economic time series with common trends (cointegration)";10000000;12021411
"Cordell Hull";"male";"1871-10-02";"Olympus, TN";"USA";"North America";"1945";"The Nobel Peace Prize";"1945-11-12";"for his indefatigable work for international understanding and his pivotal role in establishing the United Nations";121333;2545326
"Corneille Heymans";"male";"1892-03-28";"Ghent";"Belgium";"Europe";"1938";"The Nobel Prize in Physiology or Medicine";NA;"for the discovery of the role played by the sinus and aortic mechanisms in the regulation of respiration";155077;4625656
"Craig C. Mello";"male";"1960-10-19";"New Haven, CT";"USA";"North America";"2006";"The Nobel Prize in Physiology or Medicine";"2006-10-02";"for their discovery of RNA interference - gene silencing by double-stranded RNA";10000000;11762169
"Czeslaw Milosz";"male";"1911-06-30";"Śeteniai";"Russian Empire";"Europe";"1980";"The Nobel Prize in Literature";NA;"who with uncompromising clear-sightedness voices man's exposed condition in a world of severe conflicts";880000;2942067
"D. Carleton Gajdusek";"male";"1923-09-09";"Yonkers, NY";"USA";"North America";"1976";"The Nobel Prize in Physiology or Medicine";"1976-10-14";"for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases";681000;3403217
"Dag Hammarskjöld";"male";"1905-07-29";"Jönköping";"Sweden";"Europe";"1961";"The Nobel Peace Prize";"1961-10-23";"for developing the UN into an effective and constructive international organization, capable of giving life to the principles and aims expressed in the UN Charter";250233;2930643
"Dale T. Mortensen";"male";"1939-02-02";"Enterprise, OR";"USA";"North America";"2010";"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel";"2010-10-11";"for their analysis of markets with search frictions";10000000;11015580
